,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Bahia Blanca,100,AR,1562530743,62,-38.72,-62.27,11.31,4.32
376,Neryungri,90,RU,1562530744,77,56.66,124.71,16.02,2.5
377,Bourg-en-Bresse,0,FR,1562530744,64,46.21,5.22,26.0,1.5
378,Saint-Augustin,20,CA,1562530744,41,45.63,-73.98,26.11,2.1
379,Umm Lajj,0,SA,1562530744,62,25.02,37.27,29.49,3.14
380,Ozark,20,US,1562530744,62,37.02,-93.21,32.78,3.6
381,Cabinda,80,AO,1562530745,85,-5.56,12.19,23.43,4.66
382,Port Hedland,0,AU,1562530745,72,-20.31,118.58,15.0,4.1
383,Valteron,0,GR,1562530745,65,41.18,23.32,26.11,1.17
384,San Matias,0,BO,1562530745,31,-16.36,-58.4,22.31,2.5
385,Algeciras,0,ES,1562530746,49,36.13,-5.45,23.0,8.2
386,Grevesmuhlen,75,DE,1562530747,62,53.87,11.18,14.0,2.1
387,Novoagansk,100,RU,1562530747,92,61.94,76.66,12.7,5.82
388,Labuhan,94,ID,1562530748,86,-2.54,115.51,19.0,0.97
389,Marsaxlokk,0,MT,1562530748,83,35.84,14.54,27.22,3.1
390,Samarai,33,PG,1562530748,89,-10.62,150.67,23.47,2.81
391,Kindu,100,CD,1562530749,83,-2.95,25.92,22.43,1.0
392,Bestobe,99,KZ,1562530749,54,52.5,73.1,18.2,2.92
393,Tuscaloosa,1,US,1562530462,78,33.21,-87.57,31.11,1.5
394,Half Moon Bay,75,US,1562530628,87,37.46,-122.43,25.0,3.6
395,Okakarara,0,NA,1562530750,50,-20.59,17.46,6.91,1.11
396,Beian,20,NO,1562530750,81,63.66,9.57,13.33,5.1
397,Dayong,0,CN,1562530750,88,25.02,118.29,28.0,2.0
398,Port-Gentil,75,GA,1562530750,100,-0.72,8.78,23.0,4.1
399,Mananjary,21,MG,1562530751,74,-19.16,46.8,15.82,1.09
400,The Valley,20,AI,1562530471,66,18.22,-63.06,31.0,6.2
401,Formosa do Rio Preto,59,BR,1562530761,35,-11.04,-45.19,28.35,1.6
402,Makakilo City,1,US,1562530761,69,21.35,-158.09,30.0,3.1
403,La Pintada,40,CO,1562530762,47,5.75,-75.61,24.44,4.1
404,Valea Crisului,96,RO,1562530762,79,45.92,25.77,18.89,0.41
405,Kanniyakumari,21,IN,1562530525,83,8.08,77.57,27.22,7.27
406,Benemerito de las Americas,30,MX,1562530762,56,16.52,-90.64,31.33,2.75
407,Naliya,16,IN,1562530762,77,23.26,68.83,28.98,8.76
408,Parana,75,BR,1562530762,69,-7.52,-72.89,23.0,2.6
409,Misratah,0,LY,1562530763,65,32.38,15.09,27.49,3.31
410,Sulangan,1,PH,1562530763,77,11.14,123.72,27.94,3.01
411,Cap Malheureux,75,MU,1562530763,83,-19.98,57.61,22.0,4.45
412,Killybegs,0,IE,1562530763,71,54.63,-8.45,13.89,5.7
413,Cidreira,24,BR,1562530764,84,-30.17,-50.22,7.57,1.33
414,Maumere,2,ID,1562530764,63,-8.63,122.22,20.7,2.22
415,Hasilpur,15,PK,1562530764,41,29.69,72.55,35.85,4.15
416,Betsiamites,1,CA,1562530764,27,48.94,-68.65,25.0,4.6
417,Yertsevo,100,RU,1562530745,78,60.8,40.09,13.08,1.54
418,Sulingen,20,DE,1562530765,58,52.68,8.8,14.44,4.1
419,Taltal,0,CL,1562530765,78,-25.41,-70.49,14.3,1.87
420,Tondano,20,ID,1562530765,94,1.3,124.91,21.0,2.14
421,Astoria,90,US,1562530765,77,46.19,-123.83,19.44,4.1
422,Tura,28,RU,1562530766,87,64.27,100.22,13.28,3.05
423,Clyde River,90,CA,1562530766,93,70.47,-68.59,3.0,5.1
424,Nanortalik,40,GL,1562530766,52,60.14,-45.24,10.49,6.08
425,Fernandez,75,AR,1562530610,81,-51.64,-69.22,7.0,3.1
426,Minas,0,UY,1562530766,43,-34.38,-55.24,13.0,2.46
427,Moree,75,AU,1562530766,87,-29.46,149.84,13.0,4.1
428,Alofi,56,NU,1562530767,83,-19.06,-169.92,23.0,2.1
429,Stjordalshalsen,40,NO,1562530767,71,63.47,10.93,13.33,1.5
430,Mahon,75,IE,1562530767,100,51.89,-8.4,15.0,2.1
431,Astana,0,KZ,1562530705,87,51.13,71.43,13.0,3.0
432,Maragogi,0,BR,1562530767,87,-9.01,-35.22,22.63,1.82
433,Verkhnyaya Maksakovka,40,RU,1562530768,100,61.63,50.97,13.89,1.0
434,Mathathane,0,BW,1562530768,13,-22.27,28.75,14.1,4.03
435,Taylor,90,CA,1562530768,63,56.15,-120.68,18.0,5.1
436,Voi,74,KE,1562530768,92,-3.4,38.57,18.7,2.62
437,Sao Felix do Xingu,24,BR,1562530768,63,-6.64,-51.99,27.67,0.33
438,Khani,75,GE,1562530769,83,41.96,42.96,23.0,1.5
439,Mezen,25,RU,1562530769,73,65.85,44.24,8.29,7.58
440,Pula,40,EC,1562530769,62,-1.95,-79.93,31.11,3.1
441,Tucurui,93,BR,1562530769,94,-3.77,-49.67,25.18,0.25
442,Nuuk,75,GL,1562530769,39,64.17,-51.74,19.0,3.6
443,Etchoropo,6,MX,1562530770,24,26.77,-109.67,37.22,1.79
444,Havre de Grace,90,US,1562530770,78,39.55,-76.09,31.0,6.2
445,Idaho Falls,1,US,1562530612,24,43.49,-112.04,28.0,7.2
446,Ust-Nera,0,RU,1562530770,54,64.57,143.24,13.21,1.37
447,Colares,20,PT,1562530666,72,38.8,-9.45,20.56,4.6
448,Zonguldak,0,TR,1562530771,67,41.25,31.83,24.19,3.99
449,Syracuse,1,US,1562530771,50,43.05,-76.15,28.33,3.1
450,Filadelfia,0,PY,1562530781,29,-22.35,-60.04,16.15,2.56
451,Chittaurgarh,100,IN,1562530781,80,24.88,74.62,26.82,8.08
452,Floro,40,NO,1562530781,71,61.6,5.03,15.0,8.2
453,La Fleche,0,FR,1562530782,40,47.7,-0.08,25.0,2.6
454,Ennis,75,IE,1562530782,63,52.84,-8.98,18.0,2.1
455,Yumen,33,CN,1562530782,63,40.29,97.04,15.38,3.94
456,Sompeta,100,IN,1562530782,78,18.93,84.6,26.4,2.48
457,Yulara,0,AU,1562530783,61,-25.24,130.99,9.0,3.1
458,Fortuna,0,ES,1562530783,65,38.18,-1.13,30.56,2.6
459,Sambava,85,MG,1562530783,94,-14.27,50.17,20.24,0.63
460,Vao,22,EE,1562530783,89,59.1,26.19,9.95,1.66
461,Matadi,100,CD,1562530783,82,-5.83,13.46,21.19,1.48
462,Imeni Poliny Osipenko,22,RU,1562530784,73,52.42,136.49,19.29,1.25
463,Fairlie,40,US,1562530784,44,33.31,-95.96,36.11,3.6
464,Kortkeros,40,RU,1562530784,100,61.81,51.56,13.89,1.0
465,Aykhal,90,RU,1562530784,100,65.95,111.51,13.0,1.0
466,Fairbanks,90,US,1562530513,56,64.84,-147.72,21.0,2.6
467,Connersville,40,US,1562530785,78,39.64,-85.14,33.33,5.1
468,Bahia de Caraquez,40,EC,1562530785,66,-0.6,-80.42,29.0,4.1
469,Obukhiv,0,UA,1562530785,100,50.11,30.63,17.78,3.0
470,Curup,50,ID,1562530785,98,-3.47,102.53,19.06,1.93
471,Kirakira,28,SB,1562530785,86,-10.46,161.92,26.2,4.62
472,Tam Ky,20,VN,1562530786,74,15.57,108.48,28.0,1.83
473,Piacabucu,0,BR,1562530786,78,-10.41,-36.43,24.46,2.71
474,Port Macquarie,67,AU,1562530741,100,-31.43,152.91,10.0,1.5
475,Melenci,20,RS,1562530786,93,45.52,20.32,19.0,2.1
476,Bilibino,98,RU,1562530786,49,68.06,166.44,14.95,5.19
477,Cape Canaveral,75,US,1562530604,100,28.41,-80.6,28.89,7.7
478,Paita,0,PE,1562530787,290,-5.09,-81.11,17.0,5.7
479,Sabha,0,LY,1562530787,12,27.03,14.43,30.63,4.91
480,Aguada de Pasajeros,40,CU,1562530787,63,22.38,-80.85,33.0,4.1
481,Hasanabad,20,IR,1562530787,39,35.37,51.24,28.0,12.3
482,Tazovskiy,100,RU,1562530730,72,67.47,78.7,7.55,6.95
483,Cedar City,1,US,1562530613,17,37.68,-113.06,28.0,7.7
484,Caravelas,85,BR,1562530762,74,-17.73,-39.27,21.74,9.0
485,Portland,20,US,1562530600,50,43.66,-70.25,28.33,1.5
486,Brokopondo,40,SR,1562530788,52,5.06,-54.98,33.0,2.6
487,Quatre Cocos,75,MU,1562530768,83,-20.21,57.76,22.0,2.68
488,Montrose,20,GB,1562530788,67,56.71,-2.47,15.0,2.6
489,Jiayuguan,38,CN,1562530788,60,39.77,98.29,14.23,0.6
490,Katangli,100,RU,1562530789,97,51.71,143.23,12.83,1.67
491,Koumac,83,NC,1562530789,76,-20.56,164.28,20.97,4.34
492,Aitape,100,PG,1562530789,87,-3.15,142.36,24.27,2.51
493,Galesong,100,ID,1562530790,82,-5.32,119.37,25.54,10.66
494,Carauari,15,BR,1562530790,57,-4.88,-66.9,27.63,1.72
495,Ayan,17,IR,1562530790,70,38.23,44.7,12.83,2.35
496,La Rioja,70,AR,1562530790,64,-29.41,-66.86,8.8,1.62
497,Dong Xoai,88,VN,1562530791,95,11.53,106.92,24.13,2.14
498,Takab,0,IR,1562530791,59,36.4,47.11,15.17,2.57
499,Geneva,20,FR,1562530629,44,46.2,6.15,27.78,2.1
500,Karratha,0,AU,1562530801,66,-20.74,116.85,16.65,1.08
501,Ajdabiya,0,LY,1562530801,84,30.75,20.22,25.25,6.31
502,San Ignacio,100,PE,1562530802,99,-5.15,-79.0,15.19,0.96
503,Bera,100,BD,1562530802,88,24.08,89.61,26.56,3.96
504,Urambo,73,TZ,1562530802,55,-5.07,32.07,21.45,1.52
505,Tulum,40,MX,1562530802,63,20.21,-87.46,33.0,6.7
506,Dundee,20,GB,1562530802,67,56.46,-2.97,15.0,2.6
507,Cairns,17,AU,1562530803,88,-16.92,145.77,19.0,2.1
508,Lebedyn,68,UA,1562530803,92,50.58,34.48,16.94,3.44
509,Te Anau,85,NZ,1562530803,74,-45.41,167.72,3.38,1.3
510,Gouyave,40,GD,1562530803,83,12.16,-61.73,28.0,5.1
511,Bontang,44,ID,1562530804,99,0.12,117.47,21.01,0.71
512,Saint-Joseph,0,FR,1562530804,24,43.56,6.97,32.0,3.6
513,Riyadh,0,SA,1562530730,8,24.63,46.72,38.0,2.1
514,Marsala,24,IT,1562530804,83,37.8,12.44,28.33,0.5
515,Zhuanghe,17,CN,1562530804,49,39.7,122.97,24.44,0.89
516,Muisne,75,EC,1562530805,79,0.61,-80.02,29.0,4.6
517,Taoudenni,0,ML,1562530752,14,22.68,-3.98,38.7,6.99
518,Wuan,100,CN,1562530805,48,31.68,112.0,25.8,2.73
519,Bon Accord,90,CA,1562530805,77,53.84,-113.41,20.0,3.6
520,Chichester,40,GB,1562530806,72,50.84,-0.78,18.0,2.1
521,Shimoda,73,JP,1562530806,90,34.7,138.93,22.22,0.89
522,Urucara,100,BR,1562530806,74,-2.54,-57.76,28.29,1.49
523,Chernyshevskiy,100,RU,1562530807,85,63.01,112.47,14.52,2.49
524,Saint-Pierre,0,FR,1562530807,72,48.95,4.24,19.0,4.6
525,Jvari,0,GE,1562530807,95,42.72,42.05,9.35,1.64
526,Pitkyaranta,97,RU,1562530807,84,61.57,31.48,11.73,1.47
527,Freeport,75,BS,1562530711,62,26.54,-78.7,31.0,5.7
528,Namibe,74,AO,1562530808,88,-15.19,12.15,20.16,3.44
529,Acapulco,5,MX,1562530705,70,16.86,-99.88,31.0,3.6
530,Hit,0,IQ,1562530808,13,33.64,42.83,31.69,4.24
531,Nativitas,5,MX,1562530808,35,19.23,-98.32,22.0,2.1
532,Ha Giang,92,VN,1562530808,97,22.83,104.99,19.1,1.4
533,Tateyama,47,JP,1562530809,94,36.66,137.31,22.22,0.45
534,Le Vauclin,20,MQ,1562530809,62,14.55,-60.84,31.0,7.2
535,Phalaborwa,0,ZA,1562530809,45,-23.95,31.14,19.0,6.7
536,Mikkeli,0,FI,1562530809,100,61.69,27.27,13.0,0.73
537,Gaoua,85,BF,1562530811,76,10.33,-3.18,25.9,3.18
